"","qseqid","species","seq_percID","top_perc","diff","taxonomic_level","taxon","genus","family","order","class","phylum","kingdom"
"35","ASV_0342","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"36","ASV_0363","Oncorhynchus keta",98.817,98.817,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"37","ASV_0365","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"38","ASV_0372","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"39","ASV_0375","Oncorhynchus tshawytscha",99.408,99.408,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"40","ASV_0384","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"41","ASV_0393","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"42","ASV_0402","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"43","ASV_0403","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"44","ASV_0406","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"45","ASV_0409","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"46","ASV_0425","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"47","ASV_0448","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"48","ASV_0453","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"49","ASV_0464","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"50","ASV_0470","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"51","ASV_0473","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"52","ASV_0476","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"53","ASV_0490","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"54","ASV_0492","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"55","ASV_0493","Oncorhynchus keta",99.405,99.405,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"56","ASV_0501","Oncorhynchus nerka",98.817,98.817,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"57","ASV_0509","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"58","ASV_0513","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"59","ASV_0527","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"60","ASV_0546","Oncorhynchus keta",98.817,98.817,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"61","ASV_0548","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"62","ASV_0549","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"63","ASV_0553","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"64","ASV_0561","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"65","ASV_0563","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"66","ASV_0568","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"67","ASV_0571","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"68","ASV_0585","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"69","ASV_0586","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"70","ASV_0587","Oncorhynchus nerka",99.408,99.408,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"71","ASV_0588","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"72","ASV_0593","Oncorhynchus nerka",99.408,99.408,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"73","ASV_0598","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"74","ASV_0599","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"75","ASV_0607","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"76","ASV_0609","Oncorhynchus tshawytscha",98.817,98.817,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"77","ASV_0618","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"78","ASV_0622","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"79","ASV_0624","Oncorhynchus tshawytscha",100,100,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"80","ASV_0628","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"81","ASV_0630","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"82","ASV_0631","Oncorhynchus nerka",98.817,98.817,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"83","ASV_0632","Oncorhynchus nerka",98.817,98.817,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"84","ASV_0638","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"85","ASV_0645","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"86","ASV_0648","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"87","ASV_0651","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"88","ASV_0661","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"89","ASV_0662","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"90","ASV_0670","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"91","ASV_0671","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"92","ASV_0674","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"93","ASV_0678","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"94","ASV_0689","Oncorhynchus gorbuscha",100,100,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"95","ASV_0692","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"96","ASV_0697","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"97","ASV_0707","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"98","ASV_0709","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"99","ASV_0711","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"100","ASV_0717","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"101","ASV_0721","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"102","ASV_0727","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"103","ASV_0732","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"104","ASV_0735","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"105","ASV_0736","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"106","ASV_0743","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"107","ASV_0746","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"108","ASV_0755","Oncorhynchus gorbuscha",98.824,98.824,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"109","ASV_0756","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"110","ASV_0768","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"111","ASV_0777","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"112","ASV_0780","Oncorhynchus keta",99.405,99.405,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"113","ASV_0781","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"114","ASV_0784","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"115","ASV_0785","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"116","ASV_0790","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"117","ASV_0792","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"118","ASV_0800","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"119","ASV_0802","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"120","ASV_0810","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"121","ASV_0817","Oncorhynchus kisutch",99.412,99.412,0,"species","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"122","ASV_0821","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"123","ASV_0826","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"124","ASV_0831","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"125","ASV_0835","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"126","ASV_0836","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"127","ASV_0843","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"128","ASV_0849","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"129","ASV_0853","Oncorhynchus keta",98.817,98.817,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"130","ASV_0855","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"131","ASV_0867","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"132","ASV_0868","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"133","ASV_0874","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"134","ASV_0875","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"135","ASV_0882","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"136","ASV_0885","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"137","ASV_0890","Oncorhynchus tshawytscha",98.824,98.824,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"138","ASV_0891","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"139","ASV_0895","Oncorhynchus tshawytscha",99.412,99.412,0,"species","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"140","ASV_0897","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"141","ASV_0904","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"142","ASV_0906","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"143","ASV_0911","Oncorhynchus gorbuscha",99.412,99.412,0,"species","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"144","ASV_0914","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"145","ASV_0925","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"146","ASV_0926","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"147","ASV_0929","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"148","ASV_0933","Oncorhynchus keta",99.408,99.408,0,"species","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
"149","ASV_0939","Oncorhynchus nerka",99.412,99.412,0,"species","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota"
