"","taxon","reads"
"1","Clupea pallasii",1192485
"2","Gadus chalcogrammus",987160.901268333
"3","Ammodytes hexapterus",252353
"4","Oncorhynchus tshawytscha",223990
"5","Oncorhynchus keta",163557
"6","Mallotus villosus",113344
"7","Oncorhynchus",85892
"8","Oncorhynchus kisutch",71059
"9","Ammodytes personatus",39421
"10","Oncorhynchus gorbuscha",29587.5
"11","Pleuronectidae 1",27309
"12","Gadus",23950
"13","Pungitius pungitius",12208
"14","Oncorhynchus nerka",11555.86955
"15","Eleginus gracilis",8981
"16","Osmerus mordax",4423
"17","Myoxocephalus 1",2824
"18","Pleuronectidae 4",2749
"19","Stichaeidae 1",2355
"20","Gasterosteus aculeatus",2066
"21","Gadidae",1428
"22","Pleuronectidae 2",1304
"23","Pleuronectes quadrituberculatus",936
"24","Lepidopsetta",645
"25","Sebastes 1",591
"26","Stichaeus punctatus",499
"27","Gymnocanthus pistilliger",345
"28","Stichaeidae 2",329
"29","Aspidophoroides monopterygius",318
"30","Aspidophoroides olrikii",292
"31","Podothecus accipenserinus",257
"32","Pleurogrammus monopterygius",213
"33","Anisarchus medius",165
"34","Anoplopoma fimbria",153
"35","Leuroglossus schmidti",151
"36","Artediellus",123
"37","Reinhardtius hippoglossoides",101
"38","Atheresthes stomias",74
"39","Liparis",72
"40","Lethenteron camtschaticum",41
"41","Hexagrammos decagrammus",27.33333
"42","Stenobrachius leucopsarus",9
"43","Ammodytes",6
"44","Tarletonbeania crenularis",5
