"","taxon","reads"
"1","Gadus chalcogrammus",3186910.518132
"2","Oncorhynchus keta",1159392.017905
"3","Clupea pallasii",765169.443247
"4","Oncorhynchus tshawytscha",525793
"5","Eleginus gracilis",466616
"6","Pleuronectidae 1",410560.675587
"7","Oncorhynchus gorbuscha",313118
"8","Oncorhynchus",207192
"9","Oncorhynchus nerka",193316
"10","Gadus",149896
"11","Mallotus villosus",139927
"12","Osmerus mordax",133831
"13","Oncorhynchus kisutch",124220
"14","Stichaeidae 1",81282
"15","Pleuronectes quadrituberculatus",65640
"16","Ammodytes personatus",43335
"17","Acantholumpenus mackayi",29795
"18","Pungitius pungitius",28680
"19","Ammodytes hexapterus",18922
"20","Gasterosteus aculeatus",17470
"21","Pleuronectidae 2",15444
"22","Myoxocephalus 1",15371
"23","Lycodes palearis",13215
"24","Lepidopsetta",7309
"25","Gadidae",5256
"26","Asterias amurensis",4536
"27","Hippoglossus stenolepis",3607
"28","Anisarchus medius",2775
"29","Gadus macrocephalus",2682
"30","Lethenteron camtschaticum",1620
"31","Cottus",1531
"32","Arctogadus glacialis",1446
"33","Phocoena phocoena",542
"34","Anarhichas",235
"35","Balaenoptera physalus",226
"36","Delphinapterus leucas",151
"37","Pleuronectidae 4",102
"38","Synthliboramphus antiquus",13
"39","Uria aalge",4
