Sample_ID,extraction_ID,pcr_replicate,miseq_run,alternative_ID,collection_year,collection_month,collection_day,location1,location2,time_of_day,longitude,latitude,sample_type,depth,project,extraction_by,extraction_date,plate_or_vial,extraction_plate,extraction_well
e00630_A,e00630,A,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,D03
e00631_A,e00631,A,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,E03
e00632_A,e00632,A,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,F03
e00633_A,e00633,A,20240423,NW21_17b,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G03
e00634_A,e00634,A,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,H03
e00635_A,e00635,A,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,A04
e00636_A,e00636,A,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,B04
e00637_A,e00637,A,20240423,NW21_20b,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C04
e00638_A,e00638,A,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,D04
e00639_A,e00639,A,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,E04
e00640_A,e00640,A,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,F04
e00641_A,e00641,A,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,G04
e00642_A,e00642,A,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,H04
e00643_A,e00643,A,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,A05
e00644_A,e00644,A,20240423,NW21_23b,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B05
e00645_A,e00645,A,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,C05
e00646_A,e00646,A,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,D05
e00647_A,e00647,A,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,E05
e00648_A,e00648,A,20240423,NW21_26b,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F05
e00649_A,e00649,A,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,G05
e00650_A,e00650,A,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,H05
e00651_A,e00651,A,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,A06
e00652_A,e00652,A,20240423,NW21_29b,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B06
e00653_A,e00653,A,20240423,NW21_23-10,2021,9,9,32,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,C06
e00654_A,e00654,A,20240423,NW21_23-10,2021,9,9,32,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,D06
e00655_A,e00655,A,20240423,NW21_23-10,2021,9,9,32,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,E06
e00656_A,e00656,A,20240423,NW21_23b,2021,9,9,32,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F06
e00657_A,e00657,A,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,G06
e00658_A,e00658,A,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,NBS,MP,2022_02_23,plate,1_2022,H06
e00659_A,e00659,A,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,A07
e00660_A,e00660,A,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,B07
e00661_A,e00661,A,20240423,NW21_35b,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C07
e00662_A,e00662,A,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,D07
e00663_A,e00663,A,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,E07
e00664_A,e00664,A,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,F07
e00665_A,e00665,A,20240423,NW21_38b,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G07
e00666_A,e00666,A,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,H07
e00667_A,e00667,A,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,A08
e00668_A,e00668,A,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,B08
e00669_A,e00669,A,20240423,NW21_40b,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C08
e00670_A,e00670,A,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,D08
e00671_A,e00671,A,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,E08
e00672_A,e00672,A,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,F08
e00673_A,e00673,A,20240423,NW21_43b,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G08
e00674_A,e00674,A,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,H08
e00675_A,e00675,A,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,A09
e00676_A,e00676,A,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,B09
e00677_A,e00677,A,20240423,NW21_46b,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C09
e00678_A,e00678,A,20240423,NW21_14-10,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,10,NBS,MP,2022_02_23,plate,1_2022,D09
e00679_A,e00679,A,20240423,NW21_14-10,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,10,NBS,MP,2022_02_23,plate,1_2022,E09
e00680_A,e00680,A,20240423,NW21_14-10,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,10,NBS,MP,2022_02_23,plate,1_2022,F09
e00681_A,e00681,A,20240423,NW21_14-50,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,50,NBS,MP,2022_02_23,plate,1_2022,G09
e00682_A,e00682,A,20240423,NW21_14-50,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,50,NBS,MP,2022_02_23,plate,1_2022,H09
e0683_A,e0683,A,20240423,NW21_14-50,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,50,NBS,MP,2022_02_23,plate,1_2022,A10
PC1_A,PC1,A,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,positive_control,NA,NA,NA,NA,NA,NA,NA
NC1_A,NC1,A,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,PCR_control,NA,NA,NA,NA,NA,NA,NA
e00611_B,e00611,B,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,A01
e00612_B,e00612,B,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,B01
e00613_B,e00613,B,20240423,NW21_2-10,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,sample,10,NBS,MP,2022_02_23,plate,1_2022,C01
e00614_B,e00614,B,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,D01
e00615_B,e00615,B,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,E01
e00616_B,e00616,B,20240423,NW21_5-40,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,40,NBS,MP,2022_02_23,plate,1_2022,F01
e00617_B,e00617,B,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,G01
e00618_B,e00618,B,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,H01
e00619_B,e00619,B,20240423,NW21_5-10,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,sample,10,NBS,MP,2022_02_23,plate,1_2022,A02
e00620_B,e00620,B,20240423,NW21_5b,2021,8,31,5,Northern Bering Sea,08312021 20:39:34.703,60.5,-170.9946,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B02
e00621_B,e00621,B,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,C02
e00622_B,e00622,B,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,D02
e00623_B,e00623,B,20240423,NW21_8-10,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,sample,10,NBS,MP,2022_02_23,plate,1_2022,E02
e00624_B,e00624,B,20240423,NW21_8b,2021,9,1,8,Northern Bering Sea,09012021 20:17:53.075,60.4995,-168.0016,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F02
e00625_B,e00625,B,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G02
e00626_B,e00626,B,20240423,NW21_11-10,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,sample,10,NBS,MP,2022_02_23,plate,1_2022,H02
e00627_B,e00627,B,20240423,NW21_11-10,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,sample,10,NBS,MP,2022_02_23,plate,1_2022,A03
e00628_B,e00628,B,20240423,NW21_11b,2021,9,2,11,Northern Bering Sea,09022021 20:28:38.688,61.0025,-168.002,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B03
e00629_B,e00629,B,20240423,NW21_2b,2021,8,30,2,Northern Bering Sea,08202017 20:15:42.489,60.0014,-169.0017,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C03
e00630_B,e00630,B,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,D03
e00631_B,e00631,B,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,E03
e00632_B,e00632,B,20240423,NW21_17-10,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,sample,10,NBS,MP,2022_02_23,plate,1_2022,F03
e00633_B,e00633,B,20240423,NW21_17b,2021,9,4,17,Northern Bering Sea,09042021 20:26:56.815,61.5004,-168.9987,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G03
e00634_B,e00634,B,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,H03
e00635_B,e00635,B,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,A04
e00636_B,e00636,B,20240423,NW21_20-10,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,sample,10,NBS,MP,2022_02_23,plate,1_2022,B04
e00637_B,e00637,B,20240423,NW21_20b,2021,9,5,20,Northern Bering Sea,09052021 21:01:01.200,62.0006,-166.9998,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C04
e00638_B,e00638,B,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,D04
e00639_B,e00639,B,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,E04
e00640_B,e00640,B,20240423,NW21_23-40,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,40,NBS,MP,2022_02_23,plate,1_2022,F04
e00641_B,e00641,B,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,G04
e00642_B,e00642,B,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,H04
e00643_B,e00643,B,20240423,NW21_23-10,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,A05
e00644_B,e00644,B,20240423,NW21_23b,2021,9,6,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B05
e00645_B,e00645,B,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,C05
e00646_B,e00646,B,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,D05
e00647_B,e00647,B,20240423,NW21_26-10,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,sample,10,NBS,MP,2022_02_23,plate,1_2022,E05
e00648_B,e00648,B,20240423,NW21_26b,2021,9,7,26,Northern Bering Sea,09072021 20:24:38.304,62.4999,-169.9952,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F05
e00649_B,e00649,B,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,G05
e00650_B,e00650,B,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,H05
e00651_B,e00651,B,20240423,NW21_29-10,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,sample,10,NBS,MP,2022_02_23,plate,1_2022,A06
e00652_B,e00652,B,20240423,NW21_29b,2021,9,8,29,Northern Bering Sea,09082021 20:16:41.371,62.4995,-166.9961,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,B06
e00653_B,e00653,B,20240423,NW21_23-10,2021,9,9,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,C06
e00654_B,e00654,B,20240423,NW21_23-10,2021,9,9,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,D06
e00655_B,e00655,B,20240423,NW21_23-10,2021,9,9,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,sample,10,NBS,MP,2022_02_23,plate,1_2022,E06
e00656_B,e00656,B,20240423,NW21_23b,2021,9,9,23,Northern Bering Sea,09062021 20:40:32.158,62.0002,-169.9995,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,F06
e00657_B,e00657,B,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,G06
e00658_B,e00658,B,20240423,NA,NA,NA,NA,NA,NA,NA,NA,NA,extraction_blank,NA,NBS,MP,2022_02_23,plate,1_2022,H06
e00659_B,e00659,B,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,A07
e00660_B,e00660,B,20240423,NW21_35-10,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,sample,10,NBS,MP,2022_02_23,plate,1_2022,B07
e00661_B,e00661,B,20240423,NW21_35b,2021,9,10,35,Northern Bering Sea,09102021 21:19:52.199,64.0006,-169.0008,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C07
e00662_B,e00662,B,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,D07
e00663_B,e00663,B,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,E07
e00664_B,e00664,B,20240423,NW21_38-10,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,sample,10,NBS,MP,2022_02_23,plate,1_2022,F07
e00665_B,e00665,B,20240423,NW21_38b,2021,9,11,38,Northern Bering Sea,09112021 20:59:14.386,65.0022,-167.5036,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G07
e00666_B,e00666,B,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,H07
e00667_B,e00667,B,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,A08
e00668_B,e00668,B,20240423,NW21_40-10,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,sample,10,NBS,MP,2022_02_23,plate,1_2022,B08
e00669_B,e00669,B,20240423,NW21_40b,2021,9,12,40,Northern Bering Sea,09122021 19:55:00.846,64.5,-168.001,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C08
e00670_B,e00670,B,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,D08
e00671_B,e00671,B,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,E08
e00672_B,e00672,B,20240423,NW21_43-10,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,sample,10,NBS,MP,2022_02_23,plate,1_2022,F08
e00673_B,e00673,B,20240423,NW21_43b,2021,9,13,43,Northern Bering Sea,09132021 20:16:05.224,64.0003,-166.0012,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,G08
e00674_B,e00674,B,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,H08
e00675_B,e00675,B,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,A09
e00676_B,e00676,B,20240423,NW21_46-10,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,sample,10,NBS,MP,2022_02_23,plate,1_2022,B09
e00677_B,e00677,B,20240423,NW21_46b,2021,9,14,46,Northern Bering Sea,09142021 20:33:35.514,64.1004,-162.499,field_blank,NA,NBS,MP,2022_02_23,plate,1_2022,C09
e00678_B,e00678,B,20240423,NW21_14-10,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,10,NBS,MP,2022_02_23,plate,1_2022,D09
e00679_B,e00679,B,20240423,NW21_14-10,2021,9,3,14,Northern Bering Sea,09032021 20:50:34.316,60.9997,-171.0066,sample,10,NBS,MP,2022_02_23,plate,1_2022,E09
