sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00626-A-20240423	e00626-A-20240423	1	e00626-A_S16_L001_R1_001.fastq.gz	e00626-A_S16_L001_R2_001.fastq.gz	11743	11743	11599	11599	4940	4940	4705	4705	4631	4631
e00626-B-20240423	e00626-B-20240423	1	e00626-B_S91_L001_R1_001.fastq.gz	e00626-B_S91_L001_R2_001.fastq.gz	5928	5928	5842	5842	5796	5796	5661	5661	5653	5653
e00626-C-20240423	e00626-C-20240423	1	e00626-C_S166_L001_R1_001.fastq.gz	e00626-C_S166_L001_R2_001.fastq.gz	8844	8844	8719	8719	6701	6701	6683	6683	6419	6419
e00627-A-20240423	e00627-A-20240423	1	e00627-A_S17_L001_R1_001.fastq.gz	e00627-A_S17_L001_R2_001.fastq.gz	29133	29133	28689	28689	4262	4262	4091	4091	3991	3991
e00627-B-20240423	e00627-B-20240423	1	e00627-B_S92_L001_R1_001.fastq.gz	e00627-B_S92_L001_R2_001.fastq.gz	25445	25445	25131	25131	6159	6159	6021	6021	6021	6021
e00627-C-20240423	e00627-C-20240423	1	e00627-C_S167_L001_R1_001.fastq.gz	e00627-C_S167_L001_R2_001.fastq.gz	15843	15843	15631	15631	31	31	0	0	0	0
e00628-A-20240423	e00628-A-20240423	1	e00628-A_S18_L001_R1_001.fastq.gz	e00628-A_S18_L001_R2_001.fastq.gz	29052	29052	28685	28685	3926	3926	3586	3586	3573	3573
e00628-B-20240423	e00628-B-20240423	1	e00628-B_S93_L001_R1_001.fastq.gz	e00628-B_S93_L001_R2_001.fastq.gz	34643	34643	34159	34159	4808	4808	4603	4603	4544	4544
e00628-C-20240423	e00628-C-20240423	1	e00628-C_S168_L001_R1_001.fastq.gz	e00628-C_S168_L001_R2_001.fastq.gz	29136	29136	28772	28772	8807	8807	8653	8653	8535	8535
e00629-A-20240423	e00629-A-20240423	1	e00629-A_S19_L001_R1_001.fastq.gz	e00629-A_S19_L001_R2_001.fastq.gz	26963	26963	26576	26576	1312	1312	1150	1150	1150	1150
